HeavyHiggsMass,MedMass,TanBeta,SinTheta,DarkMatterMass,ExpLimit,ObsLimit,Sigma1Plus,Sigma1Minus,Sigma2Plus,Sigma2Minus
600.,200.,1.0,0.10,10.,15.230,16.563,21.195,10.974,28.413,8.174
600.,200.,1.0,0.20,10.,4.033,4.386,5.613,2.906,7.524,2.165
600.,200.,1.0,0.30,10.,2.020,2.197,2.811,1.455,3.768,1.084
600.,200.,1.0,0.35,10.,1.556,1.692,2.165,1.121,2.902,0.835
600.,200.,1.0,0.40,10.,1.282,1.394,1.784,0.924,2.391,0.688
600.,200.,1.0,0.50,10.,0.941,1.023,1.309,0.678,1.755,0.505
600.,200.,1.0,0.60,10.,0.766,0.833,1.066,0.552,1.428,0.411
600.,200.,1.0,0.70,10.,0.672,0.731,0.935,0.484,1.254,0.361
600.,200.,1.0,0.80,10.,0.594,0.646,0.827,0.428,1.109,0.319
600.,200.,1.0,0.90,10.,0.543,0.590,0.755,0.391,1.012,0.291
1000.,350.,1.0,0.10,10.,28.453,26.166,39.599,20.502,53.085,15.272
1000.,350.,1.0,0.20,10.,7.936,7.298,11.045,5.719,14.807,4.260
1000.,350.,1.0,0.30,10.,4.217,3.878,5.869,3.039,7.868,2.264
1000.,350.,1.0,0.35,10.,3.391,3.119,4.720,2.444,6.327,1.820
1000.,350.,1.0,0.40,10.,2.898,2.665,4.034,2.088,5.407,1.556
1000.,350.,1.0,0.50,10.,2.389,2.197,3.324,1.721,4.456,1.282
1000.,350.,1.0,0.60,10.,2.120,1.950,2.950,1.528,3.955,1.138
1000.,350.,1.0,0.70,10.,2.046,1.882,2.848,1.474,3.818,1.098
1000.,350.,1.0,0.80,10.,2.229,2.049,3.102,1.606,4.158,1.196
1000.,350.,1.0,0.90,10.,3.035,2.791,4.224,2.187,5.662,1.629
